city,district,voivodeship,localization_y,localization_x,market,area,rent,rooms,floor,floors,state,build_yr,build_type,build_material,parking,parking_spots,kitchen,windows,ownership,transport,education,health,recreation,other,other2,additional_area,bathroom,installation,noise,heating,media,direction,price,url
Gliwice,œl¹skie,,50.3013701,18.6816229,wtorny,63,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,278700,https://gratka.pl/nieruchomosci/mieszkanie-gliwice-ul-witkiewicza/ob/19104939
Warszawa,Praga-Pó³noc,mazowieckie,52.2515849986202,21.0291479255192,wtorny,62.36,,2,4,5,do remontu,1935,kamienica,ceg³a,,,,,,,,,,,,balkon*piwnica,,,,,,,710000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-praga-polnoc-ul-solidarnosci/ob/19326187
Warszawa,Wyczó³ki,mazowieckie,52.1641959,20.9922496,pierwotny,30.96,,1,9,10,,2021,blok,beton,,,,,w³asnoœæ,,,,,,,,,,,,,,367545,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-wyczolki-ul-klobucka/ob/19321867
Gdynia,Dzia³ki Leœne,pomorskie,54.53121588636666,18.494514298973595,wtorny,39.10,,1,parter,5,,1950,kamienica,,brak miejsca parkingowego,,oddzielna,,w³asnoœæ,,,,,,,,,,,,,,339000,https://gratka.pl/nieruchomosci/mieszkanie-gdynia-dzialki-lesne-ul-morska/ob/18238611
£ódŸ,Retkinia,³ódzkie,,,wtorny,53,,3,4,4,wysoki standard,,blok,p³yta,,,oddzielna,plastikowe/PCV,spó³dzielcze w³asnoœciowe z KW,autobus*PKP*lotnisko,¿³obek*przedszkole*szko³a podstawowa*gimnazjum,przychodnia / szpital*apteka*weterynarz,,sklep*bazarek,,balkon*komórka lokatorska,osobne WC*prysznic,nowa,,,,,379000,https://gratka.pl/nieruchomosci/3-pokojowe-retkinia-po-remoncie/oi/18941923
Warszawa,Praga-Po³udnie,mazowieckie,52.2383949,21.0996831,wtorny,61,,3,3,12,dobry,1978,,p³yta,,,oddzielna,,spó³dzielcze w³asnoœciowe,,,,,,,,,,,,,,540000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-praga-poludnie-ul-zamieniecka/ob/19450621
Warszawa,Mokotów,mazowieckie,52.2015544604603,21.0153825448509,wtorny,52,,3,1,2,,1949,kamienica,,,,,,spó³dzielcze w³asnoœciowe z KW,,,,,,,balkon*piwnica,,,,,,,585000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-mokotow-ul-jaroslawa-dabrowskiego/ob/19253063
Wroc³aw,Stab³owice,dolnoœl¹skie,51.1596,16.9004,pierwotny,54.25,,3,1,3,,2019,,,w gara¿u,,w aneksie,,,,,,,,,,,,,,,,406875,https://gratka.pl/nieruchomosci/nowe-mieszkanie-wroclaw-stablowice-ul-stablowice/ob/19179575
Kraków,Kazimierz,ma³opolskie,50.0537011,19.9437304,wtorny,64,,3,2,4,,1930,kamienica,,brak miejsca parkingowego,,,,w³asnoœæ,,,,,,,piwnica,osobne WC,,,,,,659000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-kazimierz-ul-dietla/ob/19126767
Warszawa,Bia³o³êka,mazowieckie,52.3177549,20.9964169,wtorny,64.80,,3,1,5,,2020,blok,,,,,,w³asnoœæ,,,,,,,balkon,,,,,,,467141,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-bialoleka-ul-wyspiarska/ob/18590421
Poznañ,Grunwald,wielkopolskie,,,wtorny,34,,1,1,4,,,apartamentowiec,,,,,,,,,,,,,,,,,,,,306000,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-ul-wojskowa/ob/16464664
Poznañ,Naramowice,wielkopolskie,52.4445688,16.95458,wtorny,61.30,,3,parter,4,,2020,blok,ceg³a,,,,,w³asnoœæ,,,,,,,balkon,,,,,,,380060,https://gratka.pl/nieruchomosci/mieszkanie-poznan-naramowice-ul-karpia/ob/18905503
Gdañsk,BrzeŸno,pomorskie,54.40909,18.63343,wtorny,62.73,,3,parter,1,,1920,,ceg³a,,,,,,,,,,,,,,,,,,,699000,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-brzezno-ul-cicha/ob/19174115
Warszawa,Ursus,mazowieckie,52.20298,20.88398,pierwotny,63.50,,3,4,7,,2021,blok,,,,,,,,,,,,,balkon*taras,,,,,,,485000,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-ursus-ul-traktorzystow/ob/19383035
Bydgoszcz,Osowa Góra,kujawsko-pomorskie,53.1627000615287,17.9145497567825,wtorny,52.70,,2,parter,4,,1990,blok,,,,,,,,,,,,,,,,,,,,288000,https://gratka.pl/nieruchomosci/mieszkanie-bydgoszcz-osowa-gora-ul-wielorybia/ob/19333077
Opole,Pó³wieœ,opolskie,50.6839866,17.8884799,wtorny,80,,3,parter,3,,2012,apartamentowiec,,,,,,,,,,,,,balkon*taras*piwnica,,,,,,,464000,https://gratka.pl/nieruchomosci/mieszkanie-opole-polwies/ob/19204373
Œwiêtoch³owice,œl¹skie,,50.290747,18.916871,wtorny,93,,3,1,3,,,kamienica,,,,,,,,,,,,,,,,,,,,280000,https://gratka.pl/nieruchomosci/mieszkanie-swietochlowice/ob/18755235
Warszawa,Mirów,mazowieckie,52.2324496,20.9885117,wtorny,115,,3,3,7,,1999,apartamentowiec,beton,w gara¿u,1,,,spó³dzielcze w³asnoœciowe,,,,,,,piwnica,,,,,,,1200000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-mirow-ul-lucka/ob/19325459
Rzeszów,Staromieœcie,podkarpackie,50.05888889,22.00166667,wtorny,51,,2,parter,3,,,,,,1,,,w³asnoœæ,,,,,,,balkon,,,,,,,380000,https://gratka.pl/nieruchomosci/mieszkanie-rzeszow-staromiescie/ob/18390289
Sopot,pomorskie,,54.4321,18.56206,wtorny,56.10,,4,2,2,,1920,kamienica,,,,,,,,,,,,,piwnica,,,,,,,570000,https://gratka.pl/nieruchomosci/mieszkanie-sopot-ul-niepodleglosci/ob/18793771
Warszawa,Bielany,mazowieckie,52.2775,20.94722222,wtorny,63,,3,parter,12,do remontu,1977,blok,p³yta,,,,,spó³dzielcze w³asnoœciowe,,,,,,,,,,,,,,509000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-bielany/ob/19310191
Gdynia,Œródmieœcie,pomorskie,54.51972222,18.53916667,wtorny,97.60,,3,4,powy¿ej 30,,2009,apartamentowiec,,,,,,,,,,,,,,,,,,,,2200000,https://gratka.pl/nieruchomosci/mieszkanie-gdynia-srodmiescie-ul-hryniewieckiego/ob/19012209
Wroc³aw,Huby,dolnoœl¹skie,51.09203,17.03469,wtorny,59.45,,4,3,5,,1986,blok,p³yta,,,,,,,,,,,,,,,,,,,480000,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-huby/ob/19333393
Poznañ,Grunwald,wielkopolskie,,,pierwotny,55.25,,2,4,,,2020,apartamentowiec,,,,,,,,,,,,,,,,,,,,394386,https://gratka.pl/nieruchomosci/nowe-mieszkanie-poznan-grunwald-ul-bulgarska-59/ob/19229401
