city,district,voivodeship,localization_y,localization_x,market,area,rent,rooms,floor,floors,state,build_yr,build_type,build_material,parking,parking_spots,kitchen,windows,ownership,transport,education,health,recreation,other,other2,additional_area,bathroom,installation,noise,heating,media,direction,price,url
Szczecin,zachodniopomorskie,,53.4133,14.5771,wtorny,78,,3,3,3,wysoki standard,1931,kamienica,ceg³a,,,,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,432900,https://gratka.pl/nieruchomosci/mieszkanie-szczecin/ob/19342981
Gdynia,Pustki Cisowskie-Demptowo,pomorskie,54.52943,18.45662,wtorny,55.80,,3,1,3,,2010,blok,pustak,,,,,,,,,,,,balkon*piwnica,,,,,,,445500,https://gratka.pl/nieruchomosci/mieszkanie-gdynia-pustki-cisowskie-demptowo-ul-skarbka/ob/19286805
Leszno,wielkopolskie,,51.842658,16.577814,wtorny,74.12,,3,parter,5,,2020,blok,pustak,,,w aneksie,,,,,,,,,,,,,,,,403954,https://gratka.pl/nieruchomosci/mieszkanie-leszno/ob/18544079
Wroc³aw,Sêpolno,dolnoœl¹skie,51.10972222,17.10083333,pierwotny,50.79,,2,1,0 (parter),,2019,apartamentowiec,,,,,,,,,,,,,balkon,,,,,,,511963,https://gratka.pl/nieruchomosci/nowe-mieszkanie-wroclaw-sepolno/ob/18334891
Warszawa,Bemowo,mazowieckie,52.2290477,20.9098125,wtorny,56.67,,3,2,4,,,blok,,,,,,,,,,,,,balkon,,,,,,,561672,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-bemowo-ul-batalionow-chlopskich/ob/18917913
Warszawa,Œródmieœcie,mazowieckie,52.24138,21.02518,wtorny,57,,3,1,4,,1960,,,,,,,,,,,,,,balkon*piwnica,,,,,,,700000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-srodmiescie-ul-dobra/ob/19242435
Warszawa,Stara Ochota,mazowieckie,52.2173534,20.9780522,wtorny,53.96,,2,3,,,1938,kamienica,ceg³a,,,oddzielna,,w³asnoœæ,,,,,,,piwnica,,,,,,,712000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-stara-ochota/ob/19277423
Zabrze,œl¹skie,,50.2967136,18.7855281,wtorny,84,,5,2,4,,1900,kamienica,ceg³a,,,,plastikowe/PCV,w³asnoœæ,,,,,,,,,,,,,,300000,https://gratka.pl/nieruchomosci/mieszkanie-zabrze-ul-juliana-tuwima/ob/19482861
,,,,18.7855281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gratka.pl/nieruchomosci/mieszkanie-slupsk-ul-partyzantow/ob/19421547
Brodnica,brodnicki,kujawsko-pomorskie,53.2565165,19.4032979,wtorny,30,,2,2,2,dobry,1901,,ceg³a,,,,,w³asnoœæ,,,,,,,,,,,,,,168999,https://gratka.pl/nieruchomosci/mieszkanie-brodnica-ul-kopernika/ob/19391969
Szczecin,Warszewo,zachodniopomorskie,53.4797653,14.5418161,wtorny,53.91,,2,1,2,wysoki standard,2010,blok,ceg³a,,1,oddzielna,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,465000,https://gratka.pl/nieruchomosci/mieszkanie-szczecin-warszewo-ul-jaworzynki/ob/19229927
Opole,Zaodrze,opolskie,50.6735962,17.9001852,wtorny,55.18,,2,2,4,do odœwie¿enia,,kamienica,,przynale¿ne na ulicy,,oddzielna,,,,,,,,,balkon*piwnica,,,,,,,230000,https://gratka.pl/nieruchomosci/mieszkanie-opole-zaodrze/ob/19358439
Warszawa,Wola,mazowieckie,52.22124,20.95634,pierwotny,91.84,,4,5,8,,2021,,,,,,,,,,,,,,taras,,,,,,,909032,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-wola/ob/19340755
Warszawa,Mokotów,mazowieckie,52.20055556,21.02444444,wtorny,220,,5,2,4,,1995,blok,ceg³a,w gara¿u,2,,,w³asnoœæ,,,,,,,taras,,,,,,,2399000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-mokotow/ob/18854017
Ko³obrzeg,ko³obrzeski,zachodniopomorskie,54.1804362,15.5726024,wtorny,24.10,,1,1,11,dobry,1974,blok,p³yta,brak miejsca parkingowego,,,,w³asnoœæ,,,,,,,,,,,,,,230000,https://gratka.pl/nieruchomosci/mieszkanie-kolobrzeg-ul-warynskiego/ob/19358215
Kraków,£obzów,ma³opolskie,50.0731,19.9329,wtorny,136,600,5,3,4,po wymianie,1920,kamienica,ceg³a,,,w aneksie,plastikowe/PCV,w³asnoœæ,,,,,,,,,po wymianie,,,,,1564000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-lobzow-al-juliusza-slowackiego/ob/17743637
Trzebnica,trzebnicki,dolnoœl¹skie,51.3093,17.0663,pierwotny,68.34,,3,parter,3,,,apartamentowiec,,w gara¿u,,w aneksie,plastikowe/PCV,,,,,,,,,,,,,,,Zapytajoce,https://gratka.pl/nieruchomosci/nowe-mieszkanie-trzebnica/ob/19052897
,,,,17.0663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-krzyki/ob/19442123
Wroc³aw,Krzyki,dolnoœl¹skie,51.0851187422927,17.044459252465,wtorny,33,,2,6,11,,1980,blok,p³yta,,,oddzielna,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,317999,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-krzyki-ul-widna/ob/19050081
Sopot,pomorskie,,54.4443077471018,18.5632935899504,wtorny,53,,2,3,4,dobry,1960,blok,ceg³a,,1,oddzielna,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,790000,https://gratka.pl/nieruchomosci/mieszkanie-sopot-ul-czyzewskiego/ob/19041079
E³k,e³cki,warmiñsko-mazurskie,53.8281,22.3647,pierwotny,59.15,,3,1,4,,,apartamentowiec,,,,,,,,,,,,,,,,,,,,Zapytajoce,https://gratka.pl/nieruchomosci/nowe-mieszkanie-elk-ul-milosza/ob/14312361
Kraków,Wola Justowska,ma³opolskie,50.0696421,19.8718866,wtorny,69,,3,parter,3,,2006,,,,,,,,,,,,,,,,,,,,,699000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-wola-justowska-ul-morelowa/ob/19466503
£ódŸ,Œródmieœcie,³ódzkie,51.7717844203992,19.4671749449519,wtorny,67.68,,2,4,4,do remontu,1910,kamienica,ceg³a,,,,,w³asnoœæ,,,,,,,,,,,,,,238000,https://gratka.pl/nieruchomosci/mieszkanie-lodz-srodmiescie-ul-narutowicza/ob/19215455
Dobrzykowice,wroc³awski,dolnoœl¹skie,51.093308,17.194755,pierwotny,54,,3,1,3,,,,,,,,,,,,,,,,,,,,,,,291700,https://gratka.pl/nieruchomosci/nowe-mieszkanie-dobrzykowice/ob/19143983
Kraków,Wola Duchacka,ma³opolskie,50.0276,19.955,pierwotny,55.20,,3,4,8,,,blok,,przynale¿ne na ulicy,,,plastikowe/PCV,w³asnoœæ,,,,,,,,,,,,,,509000,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-wola-duchacka-ul-kamienskiego-okolice/ob/19202271
Kraków,Nowa Huta,ma³opolskie,50.07583333,20.13722222,wtorny,68,,3,3,4,,,,,,,,,,,,,,,,piwnica,,,,,,,595000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-nowa-huta/ob/19400989
Wieliczka,ma³opolskie,,49.986084,20.065118,pierwotny,67.13,,3,2,2,,,blok,,w gara¿u,,,plastikowe/PCV,w³asnoœæ,,,,,,,,,,,,,,409493,https://gratka.pl/nieruchomosci/nowe-mieszkanie-wieliczka-wieliczka-ul-bogucicka-okolice/ob/16310687
Toruñ,kujawsko-pomorskie,,53.0506384,18.6037352,wtorny,100,,3,3,3,wysoki standard,,apartamentowiec,ceg³a,w gara¿u,,,,,,,,,,,balkon*taras,,,,,,,1050000,https://gratka.pl/nieruchomosci/mieszkanie-torun-ul-konrada-grasera/ob/19353555
Warszawa,¯oliborz,mazowieckie,52.26944444,20.9875,wtorny,194,,5,12,15,,2010,apartamentowiec,,w gara¿u,,,,,,,,,,,,,,,,,,3550000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-zoliborz/ob/18329153
Kraków,Nowa Huta (historyczna),ma³opolskie,50.08354126,20.03740909,wtorny,39,,2,1,2,,1950,blok,ceg³a,,,,,,,,,,,,piwnica,,,,,,,320000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-nowa-huta-historyczna-ul-osiedle-krakowiakow/ob/18629549
Kraków,Os. Z³ocieñ,ma³opolskie,50.02679371,20.0477314,pierwotny,50.98,,3,4,4,,2019,,,w gara¿u,,w aneksie,,w³asnoœæ,,,,,,,,,,,,,,359409,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-os-zlocien-ul-osiedle-zlotej-jesieni/ob/19267307
,,,,20.0477314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gratka.pl/nieruchomosci/mieszkanie-dziwnow/ob/18497975
Warszawa,Powiœle,mazowieckie,52.2239842593828,21.0287121831445,wtorny,29.30,,2,2,15,,1964,,,,,,,,,,,,,,,,,,,,,400000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-powisle-ul-gornoslaska/ob/18595175
Hiszpania,zagranica,,38.078942,,wtorny,100,,,,,,,,,,,,,,,,,,,,,,,,,,,1198800,https://gratka.pl/nieruchomosci/mieszkanie-walencja/ob/18815167
E³k,e³cki,warmiñsko-mazurskie,53.8281,22.3647,pierwotny,51.83,,3,1,4,,,apartamentowiec,,,,,,,,,,,,,,,,,,,,230644,https://gratka.pl/nieruchomosci/nowe-mieszkanie-elk-ul-generala-bora-komorowskiego/ob/14608102
Kraków,Podgórze,ma³opolskie,50.04527778,19.95555556,wtorny,31.90,,1,3,4,,2021,kamienica,ceg³a,przynale¿ne na ulicy,,w aneksie,,w³asnoœæ,,,,,,,,osobne WC,,,,,,412000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze/ob/18804483
Bia³ystok,Antoniuk,podlaskie,53.1385428387319,23.1325567881453,wtorny,63.20,,3,10,11,,1978,,p³yta,,,,,,,,,,,,,,,,,,,320000,https://gratka.pl/nieruchomosci/mieszkanie-bialystok-antoniuk-ul-solidarnosci/ob/18350603
Warszawa,Bemowo,mazowieckie,52.2499285,20.927217,wtorny,63,,3,1,9,,,blok,,,,,,spó³dzielcze w³asnoœciowe z KW,,,,,,,balkon,osobne WC,,,,,,560000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-bemowo-ul-rosy-bailly/ob/19185397
Kraków,Dêbniki,ma³opolskie,50.0124157,19.89210528,pierwotny,50,,3,1,5,,2020,apartamentowiec,,,1,w aneksie,,w³asnoœæ,,,,,,,balkon,,,,,,,423000,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-debniki-ul-piltza/ob/18576003
Kielce,Œlichowice,œwiêtokrzyskie,50.8843679858206,20.5788208570824,wtorny,54.50,,2,4,4,,1996,blok,ceg³a,,,,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,340000,https://gratka.pl/nieruchomosci/mieszkanie-kielce-slichowice-ul-karbonska/ob/18643771
Siemianowice Œl¹skie,œl¹skie,,50.306299,19.028542,wtorny,64,,3,parter,,,,blok,,przynale¿ne na ulicy,,,,w³asnoœæ,,,,,,,piwnica,,,,,,,249000,https://gratka.pl/nieruchomosci/mieszkanie-siemianowice-slaskie/ob/18456445
Szczecin,Gumieñce,zachodniopomorskie,53.404167,14.503333,wtorny,50,,3,2,2,wysoki standard,2000,blok,ceg³a,,,w aneksie,,w³asnoœæ,,,,,,,piwnica,,,,,,,426000,https://gratka.pl/nieruchomosci/mieszkanie-szczecin-gumience/ob/19369305
Kraków,P³aszów,ma³opolskie,50.04400078,19.98956477,pierwotny,71.79,,4,3,4,,2022,,,brak miejsca parkingowego,,w aneksie,,w³asnoœæ,,,,,,,balkon,,,,,,,667000,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-plaszow/ob/19283711
Warszawa,Œródmieœcie,mazowieckie,52.2343269,20.9986208,wtorny,27,,2,4,15,wysoki standard,1969,blok,rama H,,,w aneksie,,w³asnoœæ,,,,,,,,,,,,,,420000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-srodmiescie-ul-jana-pawla-ii/ob/19075809
Warszawa,Bielany,mazowieckie,52.2775,20.94722222,wtorny,62.20,,3,2,4,,1990,blok,ceg³a,,,oddzielna,,w³asnoœæ,,,,,,,piwnica,,,,,,,670000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-bielany/ob/19376601
Gdañsk,Wrzeszcz,pomorskie,54.37893387058302,18.619394082401683,wtorny,57,,3,1,3,wysoki standard,1920,kamienica,ceg³a,,1,oddzielna,,w³asnoœæ,,,,,,,piwnica,,,,,,,525000,https://gratka.pl/nieruchomosci/mieszkanie-gdansk-wrzeszcz-ul-leczkowa/ob/18803897
P³ock,mazowieckie,,52.5439621102065,19.6872811604665,wtorny,73.45,,3,2,2,,1995,kamienica,ceg³a,,,oddzielna,,w³asnoœæ,,,,,,,,,,,,,,282000,https://gratka.pl/nieruchomosci/mieszkanie-plock-ul-grodzka/ob/19069641
Warszawa,Zacisze,mazowieckie,52.2895,21.0792,wtorny,167.35,,6,parter,1,,,,ceg³a,,,,,w³asnoœæ,,,,,,,,,,,,,,1590000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-zacisze-ul-ustronna/ob/16464748
Warszawa,Mokotów,mazowieckie,52.1793650276856,20.9891294044801,wtorny,51.10,,3,parter,5,wysoki standard,2020,blok,,,1,w aneksie,,,,,,,,,,,,,,,,674000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-mokotow-ul-tasmowa/ob/19074377
Kielce,œwiêtokrzyskie,,50.8862133509725,20.6430893616726,wtorny,77,,4,3,3,dobry,,blok,,,,,,w³asnoœæ,,,,,,,piwnica,,,,,,,299000,https://gratka.pl/nieruchomosci/mieszkanie-kielce-ul-warszawska/ob/18644057
Kraków,Podgórze,ma³opolskie,50.0433644571515,19.9459920776823,pierwotny,28.69,,1,1,4,,,kamienica,,brak miejsca parkingowego,,,plastikowe/PCV,w³asnoœæ,,,,,,,,,,,,,,279000,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-podgorze-ul-kalwaryjska/ob/17837049
,,,,19.9459920776823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gratka.pl/nieruchomosci/mieszkanie-dabrowka-ul-komornicka/ob/19426721
Zakopane,tatrzañski,ma³opolskie,49.299181,19.9495621,pierwotny,32.40,,1,parter,,,,,,,,,,,,,,,,,,,,,,,,648000,https://gratka.pl/nieruchomosci/nowe-mieszkanie-zakopane-ul-sobiczkowa/ob/19463209
Siedlce,mazowieckie,,52.1618558,22.2793769,wtorny,50.34,,3,2,4,do odœwie¿enia,1970,blok,ceg³a,,,,,spó³dzielcze w³asnoœciowe z KW,,,,,,,piwnica,,,,,,,269000,https://gratka.pl/nieruchomosci/mieszkanie-siedlce-ul-sciegiennego/ob/18932827
Lublin,Ponikwoda,lubelskie,51.26472222,22.58694444,wtorny,51.60,,2,parter,3,,2007,blok,ceg³a,,,w aneksie,,w³asnoœæ,,,,,,,balkon,,,,,,,405000,https://gratka.pl/nieruchomosci/mieszkanie-lublin-ponikwoda/ob/19298663
Piaseczno,piaseczyñski,mazowieckie,52.0777,21.0143,wtorny,80.90,,3,3,3,,2000,blok,ceg³a,,,w aneksie,,w³asnoœæ,,,,,,,,,,,,,,496000,https://gratka.pl/nieruchomosci/mieszkanie-piaseczno-ul-albatrosow/ob/17539486
£ódŸ,Ba³uty,³ódzkie,51.8043309166874,19.464863757603,wtorny,71,,3,1,4,wysoki standard,,apartamentowiec,,przynale¿ne na ulicy,,w aneksie,,w³asnoœæ,,,,,,,,osobne WC,,,,,,899000,https://gratka.pl/nieruchomosci/mieszkanie-lodz-baluty-ul-warszawska/ob/18683229
Kraków,Os. Mistrzejowice Nowe,ma³opolskie,50.0965147,20.0204971,pierwotny,32.14,,2,6,,,2022,blok,,,,w aneksie,,,,,,,,,,,,,,,,289260,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-os-mistrzejowice-nowe-ul-os-piastow/ob/19298137
Warszawa,Szczêœliwice,mazowieckie,52.2020538,20.9510721,wtorny,77.07,,3,1,3,,,apartamentowiec,,,,w aneksie,,,,,,,,,balkon,,,,,,,1040445,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-szczesliwice-ul-maszynowa/ob/18338019
Koœcierzyna,koœcierski,pomorskie,54.1216016683661,17.9797293715323,wtorny,68.50,,2,1,2,,,kamienica,ceg³a,przynale¿ne na ulicy,,oddzielna,,w³asnoœæ,,,,,,,,osobne WC,,,,,,295000,https://gratka.pl/nieruchomosci/mieszkanie-koscierzyna-ul-gdanska/ob/18015461
Kraków,Podgórze,ma³opolskie,50.0230715,19.9957771,wtorny,30.91,,1,3,3,wysoki standard,2004,blok,,,,oddzielna,,w³asnoœæ,,,,,,,balkon,,,,,,,279000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-ul-gornikow/ob/18485341
Warszawa,Mokotów,mazowieckie,52.2054336104061,21.0024749135481,wtorny,128,,4,1,3,,2004,,,,,,,,,,,,,,taras*piwnica,,,,,,,2300000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-mokotow-ul-juliana-falata/ob/18341027
Warszawa,Zawady,mazowieckie,52.1688552,21.1070882,wtorny,194,,5,3,3,,2016,,,w gara¿u,,,,,,,,,,,balkon*taras,,,,,,,2850000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-zawady-ul-syta/ob/19177843
Gliwice,œl¹skie,,50.2915265,18.6681438,wtorny,51.70,,2,1,3,,,,,,,,,,,,,,,,balkon*piwnica,,,,,,,318700,https://gratka.pl/nieruchomosci/mieszkanie-gliwice-ul-mikolowska/ob/19219047
Kraków,Podgórze,ma³opolskie,50.0143971419145,19.8962680747088,wtorny,65.41,,3,5,5,,2008,blok,,w gara¿u,,,,w³asnoœæ,,,,,,,,,,,,,,680000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-ul-lubostron/ob/18846343
Lesznowola,piaseczyñski,mazowieckie,52.10370212,20.96334457,pierwotny,73,,3,parter,1,,2020,,ceg³a,,1,,,w³asnoœæ,,,,,,,,,,,,,,438900,https://gratka.pl/nieruchomosci/nowe-mieszkanie-lesznowola/ob/18739121
Warszawa,Mirów,mazowieckie,52.2322793091366,20.9880352434975,wtorny,79.90,,3,12,0 (parter),,2004,,,,,,,,,,,,,,,,,,,,,890000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-mirow-ul-lucka/ob/19008251
Legnica,dolnoœl¹skie,,51.20552,16.19066,wtorny,33,,2,2,10,,,blok,p³yta,,,,,,,,,,,,balkon*piwnica,,,,,,,219000,https://gratka.pl/nieruchomosci/mieszkanie-legnica/ob/18986141
Warszawa,Ursus,mazowieckie,52.20441,20.88059,pierwotny,39.30,,2,1,7,,2022,apartamentowiec,,,,,,,,,,,,,balkon,,,,,,,340000,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-ursus-ul-posag-7-panien/ob/19282951
Wroc³aw,Plac Grunwaldzki,dolnoœl¹skie,51.113805,17.041177,wtorny,61,,3,2,4,,1903,kamienica,ceg³a,,,,drewniane,w³asnoœæ,,,,,,,,,,,,,,710000,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-plac-grunwaldzki/ob/18934799
Zakopane,tatrzañski,ma³opolskie,49.296306,19.94747,wtorny,37,,2,2,4,wysoki standard,,apartamentowiec,,w gara¿u,,w aneksie,,,,,,,,,,,,,,,,617900,https://gratka.pl/nieruchomosci/mieszkanie-zakopane/ob/18791265
Malbork,malborski,pomorskie,54.0334902,19.0341675,wtorny,87.24,,4,2,3,wysoki standard,1910,kamienica,ceg³a,,,,,w³asnoœæ,,,,,,,balkon,,,,,,,369000,https://gratka.pl/nieruchomosci/mieszkanie-malbork-ul-sienkiewicza/ob/18583449
Poznañ,Stare Miasto,wielkopolskie,52.40861111,16.93361111,wtorny,52.77,,2,2,5,wysoki standard,,,,,,,,w³asnoœæ,tramwaj,,,,centrum handlowe,,,,,,,,,840056,https://gratka.pl/nieruchomosci/apartament-z-najmem-stare-miasto-poznan/oi/18994997
Z¹bki,wo³omiñski,mazowieckie,52.2799791503067,21.116040405745,pierwotny,38.21,,2,4,4,,,blok,,,,w aneksie,,,,,,,,,,,,,,,,275112,https://gratka.pl/nieruchomosci/nowe-mieszkanie-zabki-ul-mila/ob/14557524
Kraków,Stare Miasto,ma³opolskie,50.0693031,19.9300897,wtorny,136,,3,1,3,wysoki standard,1900,kamienica,ceg³a,,,,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,2250000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-stare-miasto/ob/19411515
Kraków,Os. Pr¹dnik Bia³y,ma³opolskie,50.09373315,19.91919087,pierwotny,51.62,,3,1,6,,2019,,pustak,w gara¿u,,w aneksie,,w³asnoœæ,,,,,,,,,,,,,,474904,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-os-pradnik-bialy/ob/19267465
Jastarnia,pucki,pomorskie,54.70317,18.66449,pierwotny,67.66,,2,2,2,,2016,blok,,,,,,,,,,,,,balkon,,,,,,,1500000,https://gratka.pl/nieruchomosci/nowe-mieszkanie-jastarnia-ul-adama-mickiewicza/ob/19452017
Warszawa,Bielany,mazowieckie,52.2766628562479,20.927611657072,wtorny,55,,3,9,12,,1976,blok,,,,,,,,,,,,,,,,,,,,570000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-bielany-ul-pabla-nerudy/ob/18535919
Pi³a,pilski,wielkopolskie,53.151,16.7382,pierwotny,55.52,,3,3,4,,2019,blok,,,,,,,,,,,,,taras*piwnica,,,,,,,274824,https://gratka.pl/nieruchomosci/nowe-mieszkanie-pila/ob/19390247
Kraków,Mistrzejowice,ma³opolskie,,,pierwotny,55.81,,3,6,8,,,blok,,,,,,,,,,,,,,,,,,,,Zapytajoce,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-mistrzejowice/ob/18636415
Wroc³aw,Krzyki,dolnoœl¹skie,51.0654,16.9921,wtorny,95,700,3,2,2,stan deweloperski,2012,blok,,w gara¿u,,w aneksie,,w³asnoœæ,,,,,,,,,,ciche,,,,780000,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-krzyki-ul-rodzinna/ob/15932459
Kraków,Grzegórzki Stare,ma³opolskie,50.0559484,19.95950822,pierwotny,27.67,,1,5,10,,2021,,,brak miejsca parkingowego,,w aneksie,,w³asnoœæ,,,,,,,balkon,,,,,,,387380,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-grzegorzki-stare-ul-kotlarska/ob/19277071
Elbl¹g,warmiñsko-mazurskie,,54.148735,19.4030437,wtorny,55.90,,3,1,3,,1930,kamienica,ceg³a,,,,,w³asnoœæ,,,,,,,,,,,,,,259000,https://gratka.pl/nieruchomosci/mieszkanie-elblag-ul-malborska/ob/19107213
Wroc³aw,Œródmieœcie,dolnoœl¹skie,51.1184890980808,17.0319548821805,wtorny,74,,3,2,4,,,,,,,,,,,,,,,,,,,,,,,565000,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-srodmiescie-ul-pomorska/ob/18704343
Poznañ,wielkopolskie,,52.3952852102615,16.9655900206503,wtorny,34.70,,1,parter,,dobry,,apartamentowiec,,,,,,w³asnoœæ,,,,,,,,,,ciche,,,,339000,https://gratka.pl/nieruchomosci/piekna-kawalerka-polanka-ataner/oi/19461579
,,,,16.9655900206503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-wola-ul-deotymy/ob/19455947
Warszawa,Wrzeciono,mazowieckie,52.2910422507442,20.9455378501138,wtorny,38,,2,4,4,wysoki standard,1968,blok,ceg³a,,,,,spó³dzielcze w³asnoœciowe,,,,,,,piwnica,,,,,,,450000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-wrzeciono-ul-wrzeciono/ob/19269035
Kraków,Podgórze,ma³opolskie,50.043,19.9454,wtorny,25,250,1,2,4,nowa,2017,kamienica,,,,w aneksie,plastikowe/PCV,w³asnoœæ,,,,,,,,,nowa,umiarkowanie ciche,,,,350000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-ul-wegierska/ob/18459051
Kraków,Pr¹dnik Bia³y,ma³opolskie,50.09527778,19.92888889,wtorny,51,,4,1,4,,1970,blok,,,,w aneksie,,w³asnoœæ,,,,,,,,osobne WC,,,,,,529000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-bialy/ob/18804443
Stara Iwiczna,piaseczyñski,mazowieckie,52.0821446,20.9930733,wtorny,82,,3,parter,2,,2008,apartamentowiec,,w gara¿u,1,w aneksie,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,535000,https://gratka.pl/nieruchomosci/mieszkanie-stara-iwiczna-ul-sloneczna/ob/19364943
Opole,opolskie,,50.6710198,17.9303529,wtorny,140.65,,4,1,3,,1928,,,przynale¿ne na ulicy,,,,w³asnoœæ,,,,,,,,,,,,,,597000,https://gratka.pl/nieruchomosci/mieszkanie-opole-ul-grunwaldzka/ob/19355517
Kraków,Pr¹dnik Bia³y,ma³opolskie,50.09527778,19.92888889,pierwotny,71.56,,3,2,5,,,blok,,,,,plastikowe/PCV,w³asnoœæ,,,,,,,,,,,,,,548965,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-pradnik-bialy-ul-29-listopada-okolice/ob/18855473
Warszawa,Bielany,mazowieckie,52.2837778500271,20.9697800383268,wtorny,114.80,,3,4,4,wysoki standard,2008,blok,beton,,,,,w³asnoœæ,,,,,,,piwnica,,,,,,,1830000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-bielany-ul-kiwerska/ob/19141505
Wroc³aw,Stare Miasto,dolnoœl¹skie,51.1049016,17.0126494,wtorny,39.97,,2,5,6,,2020,blok,pustak,,1,,,w³asnoœæ,,,,,,,balkon,,,,,,,419685,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-stare-miasto/ob/19062603
Bielsko-Bia³a,œl¹skie,,49.8223768,19.0583845,wtorny,79.16,,3,1,1,,,apartamentowiec,,,,,,w³asnoœæ,,,,,,,balkon,,,,,,,565000,https://gratka.pl/nieruchomosci/mieszkanie-bielsko-biala/ob/19278187
Chorzów,Chorzów II,œl¹skie,50.3117,18.9471,wtorny,63.01,,3,3,4,,,blok,,,,,,w³asnoœæ,,,,,,,,osobne WC,,,,,,247000,https://gratka.pl/nieruchomosci/mieszkanie-chorzow-chorzow-ii/ob/19202681
Warszawa,Wawer,mazowieckie,52.1885541245628,21.1428841306595,pierwotny,59.06,,3,2,,,,,,,,w aneksie,,w³asnoœæ,,,,,,,,,,,,,,431138,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-wawer-ul-trakt-lubelski/ob/9659563
Bydgoszcz,Fordon,kujawsko-pomorskie,53.1486874,18.162639,wtorny,36,,2,3,6,,2020,apartamentowiec,,,,w aneksie,,,,,,,,,,,,,,,,237000,https://gratka.pl/nieruchomosci/mieszkanie-bydgoszcz-fordon/ob/19286965
Rumia,wejherowski,pomorskie,54.56256,18.40014,wtorny,38,,2,2,2,,2006,,,,,,,,,,,,,,balkon*piwnica,,,,,,,275000,https://gratka.pl/nieruchomosci/mieszkanie-rumia-ul-harcmistrza-pawla-wyszeckiego/ob/19001227
